nodeJS,Java,Data Science,.net,pyhton,Cloud Computing,IoT,SAP,Android,ios,MongoDB,NoSQL,SQL
0.0140509,2.769854307,0.138563201,3.005375624,0.537372887,0.371449411,0.0015525,1.542725086,1.542725086,0.285637885,0.044996001,0.068151601,4.200109005
0.0141939,2.774786711,0.138927206,3.013931751,0.537593484,0.371190399,0.0015402,1.552868843,1.552868843,0.286838412,0.045361102,0.0686597,4.209405899
0.014242,2.777645588,0.139291301,3.022472143,0.538101971,0.370931298,0.0016585,1.56181705,1.56181705,0.2882137,0.0458459,0.069242403,4.212168694
0.0142902,2.780504227,0.139514402,3.031012535,0.538610518,0.370260298,0.0017074,1.573624253,1.573624253,0.289588988,0.0463982,0.069825202,4.214931011
0.0143563,2.783363104,0.139917001,3.037056923,0.538763702,0.369549811,0.0017074,1.584764242,1.584764242,0.290341496,0.047078598,0.070375301,4.217693806
0.0144018,2.784610033,0.1403763,3.042274714,0.538984418,0.369315088,0.0017074,1.595430493,1.595430493,0.291001707,0.047772199,0.070916303,4.226407528
0.0144473,2.790382385,0.141044706,3.046796322,0.538995504,0.369074702,0.0017074,1.602306485,1.602306485,0.291662008,0.048465699,0.071466401,4.242556572
0.0144765,2.792262554,0.141737998,3.051318407,0.538812399,0.368339002,0.0017783,1.613822579,1.613822579,0.292322189,0.049031202,0.0720165,4.247564793
0.0145057,2.792868376,0.1424063,3.056535959,0.538823485,0.368427396,0.0018491,1.625338674,1.625338674,0.293417692,0.049375702,0.072223097,4.252716064
0.0144552,2.793474197,0.143087894,3.061753511,0.53864038,0.368778706,0.00192,1.636854768,1.636854768,0.293794513,0.049590901,0.072226197,4.257867813
0.0143534,2.796959162,0.143635303,3.066432238,0.538457394,0.3696253,0.0019908,1.64675045,1.64675045,0.294454813,0.049806099,0.072229199,4.263368607
0.0142667,2.800444365,0.144050702,3.070954084,0.538468421,0.369918495,0.0019645,1.653145194,1.653145194,0.295845091,0.050021298,0.072243102,4.268519878
0.0141537,2.801633596,0.144414097,3.076874018,0.537787676,0.369522899,0.0019381,1.660056353,1.660056353,0.297235399,0.050222501,0.072449699,4.266537189
0.0140437,2.806356192,0.144777507,3.08622551,0.538154304,0.369328886,0.0020089,1.668674469,1.668674469,0.29865849,0.050118599,0.072635099,4.27203846
0.0139492,2.811078548,0.144573405,3.094305992,0.538520813,0.369134814,0.0021015,1.676002741,1.676002741,0.300081611,0.050175302,0.072900698,4.277539253
0.0138811,2.813439131,0.144647807,3.102351189,0.537893295,0.368383288,0.002094,1.679707289,1.679707289,0.300246388,0.050232001,0.073063098,4.284799576
0.0139524,2.815799713,0.144722104,3.110396147,0.537122428,0.367631793,0.0020856,1.684248567,1.684248567,0.30048269,0.0505457,0.073116101,4.292059898
0.0139618,2.818160295,0.144518003,3.116259336,0.536351383,0.367129505,0.0020771,1.688789964,1.688789964,0.300718904,0.050875101,0.073199801,4.299320221
0.0140218,2.821854591,0.144390896,3.121089935,0.535460174,0.367352396,0.0020733,1.693331242,1.693331242,0.300955206,0.051204499,0.073283501,4.306580544
0.0140819,2.825548887,0.144304693,3.125558138,0.536664903,0.367575407,0.0020695,1.69976294,1.69976294,0.301320702,0.051393401,0.0734194,4.311775684
0.0140582,2.827991962,0.1442177,3.126947165,0.537869573,0.368023813,0.0021192,1.704579353,1.704579353,0.301686198,0.0515824,0.073555298,4.316847324
0.014168,2.830435276,0.144493803,3.126527786,0.539295971,0.368650109,0.0021688,1.711010933,1.711010933,0.30228889,0.051771302,0.0737077,4.322041988
0.0141402,2.832878351,0.144525796,3.126108646,0.540722311,0.370453298,0.0022873,1.714182258,1.714182258,0.302891612,0.0520861,0.073859997,4.327223778
0.0141664,2.837769985,0.144439593,3.127552986,0.541791081,0.372256607,0.0024057,1.717353702,1.717353702,0.303561509,0.052275099,0.074344799,4.332418919
0.0141925,2.842661619,0.144916594,3.128997087,0.543278098,0.374315798,0.0025158,1.720525146,1.720525146,0.304231286,0.05246,0.074912503,4.337614059
